cluster_id,gold,tissue_name,stage_hpf,kind,scored,agrees,agrees_overlay,confidence,confidence_score,margin,ood,abstain_reason,n_resolved,n_markers,vocab_hit_rate,depth,zfa_id,bucket,panel_bucket,convergent_genes,attractor_groundings,thin_overcall,support_fraction,n_candidates
epid.8,epid,epidermis,42.0,named,1,1,1,low,0.4355,0.0135,in_set,,23,25,0.16,6,ZFA:0000105,epidermis,epidermis,cfl1l;cldni;col11a1a;col1a1a;col1a1b;col1a2;cotl1;cyt1;krt1-19e;krt4;krt5;krt91;pfn1;postnb;s100a10b;sparc,epidermis,0,0.8,2
epid.9,epid,epidermis,48.0,abstain,1,,,,,0.0211,structural,weak_signal,23,25,0.2,0,,mixed/unresolved,,,,,,2
eye.1,eye,eye,120.0,named,1,1,1,low,0.4554,0.0615,in_set,,25,25,0.04,15,ZFA:0000143,retinal photoreceptor layer,eye,arl3l1;cplx4a;gnat2;gnb3b;gngt2b;grk1b;guk1b;pde6c;ppdpfa;rbp4l;rcvrn2;slc25a3a;unc119b,neural,0,0.565,1
eye.10,eye,eye,96.0,abstain,1,,,,,0.0352,in_set,weak_signal,24,25,0.04,0,,mixed/unresolved,,,,,,1
eye.11,eye,eye,36.0,abstain,1,,,,,0.0,no_signal,no_panel,22,25,0.12,0,,mixed/unresolved,,,,,,0
eye.12,eye,eye,60.0,named,1,1,1,low,0.3626,0.0033,in_set,,24,25,0.12,15,ZFA:0000119,retinal inner nuclear layer,eye,cadm3;crx;gpm6aa;gpm6ab;mdkb;ndrg4;neurod4;otx5;ptmab;vsx1,neural,0,0.5,3
eye.13,eye,eye,48.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.08,0,,mixed/unresolved,,,,,,0
eye.14,eye,eye,48.0,named,1,0,0,low,0.3991,0.0183,in_set,,22,25,0.16,14,ZFA:0000019,epiphysis,pineal,cadm3;ckbb;crx;gngt2a;neurod1;otx5;pde6gb,neural,0,0.368,4
eye.15,eye,eye,120.0,named,1,0,0,low,0.5902,0.1439,in_set,,24,25,0.12,7,ZFA:0000109,forebrain,neural,atp6v0cb;celf2;ckbb;elavl3;gpm6aa;gpm6ab;hmgb1a;nova2;ptmaa;rtn1a;sncb;stmn1b;tuba1c;tubb5;zc4h2,neural,0,0.714,1
eye.16,eye,eye,48.0,abstain,1,,,,,0.0,no_signal,no_panel,24,25,0.08,0,,mixed/unresolved,,,,,,0
eye.17,eye,eye,10.0,abstain,1,,,,,0.0,no_signal,no_panel,25,25,0.04,0,,mixed/unresolved,,,,,,0
eye.18,eye,eye,36.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.12,0,,mixed/unresolved,,,,,,0
eye.19,eye,eye,104.0,named,1,1,1,low,0.3933,0.0038,in_set,,25,25,0.2,15,ZFA:0000143,retinal photoreceptor layer,eye,crx;elovl4b;gnat2;gnb3b;gngt2b;guk1b;neurod1;ppdpfa;rbp4l;rcvrn2;slc25a3a,neural,0,0.44,4
eye.2,eye,eye,24.0,abstain,1,,,,,0.0,no_signal,no_panel,23,25,0.08,0,,mixed/unresolved,,,,,,0
eye.20,eye,eye,48.0,named,1,0,0,low,0.4628,0.0443,in_set,,22,25,0.2,14,ZFA:0000019,epiphysis,pineal,cadm3;crx;neurod1;otx5;pde6gb,neural,0,0.278,4
eye.21,eye,eye,60.0,named,1,1,1,low,0.3576,0.0033,in_set,,24,25,0.16,15,ZFA:0000119,retinal inner nuclear layer,eye,cadm3;calb2b;crx;gnao1b;gpm6aa;gpm6ab;isl1a;mdkb;neurod4;otx5;ptmaa;ptmab;rs1a;vsx1,neural,0,0.609,4
