zfa_id,name,tier,tier_prefloor,usefulness_score,cell_slim,has_cl,cell_identity,ic,credited_genes,direct_genes,n_children,n_is_a_parents,n_part_of_parents,is_leaf,obsolete,in_stoplist,admin_container,structural_container,pure_grouper,curated,on_discernible_step,flags
ZFA:0005444,trunk sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005445,supratemporal sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005446,neuromast foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005447,sensory canal tubule,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005448,preopercular sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005449,pore,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005450,pectoral fin motor nerve 4,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005451,mandibular sensory canal,T4,T4,1.0,0,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,
ZFA:0005453,basicapsular fenestra,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005454,subtemporal fossa,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005455,prootic foramen,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005456,sinus impar,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005457,dorsal hypohyal-urohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005458,dorsal hypohyal-ventral hypohyal joint,T4,T4,1.0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,
ZFA:0005459,perilymphatic space,T4,T4,1.0,0,0,0,0.0,0,0,3,1,1,0,0,0,0,0,0,0,0,
