parent_id,parent_name,child_id,child_name,relation,support_parent,support_child,retained,child_unique_frac,sufficient,discernible,dead_step,naive_direct_jaccard
ZFA:0001477,portion of tissue,ZFA:0001704,scale primordium,is_a,6996,4,0.0006,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001706,Purkinje cell layer corpus cerebelli,is_a,6996,72,0.0103,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001709,Purkinje cell layer valvula cerebelli,is_a,6996,68,0.0097,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001710,mossy fiber,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001711,climbing fiber,is_a,6996,0,0.0,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001712,presumptive bulbus arteriosus,is_a,6996,8,0.0011,0.125,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001713,parallel fiber,is_a,6996,1,0.0001,0.0,0,0,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001715,otic vesicle protrusion,is_a,6996,9,0.0013,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001717,pillar of the semicircular canal,is_a,6996,4,0.0006,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001722,presumptive sinus venosus,is_a,6996,5,0.0007,0.0,1,1,0,0.0
ZFA:0001477,portion of tissue,ZFA:0001723,presumptive atrioventricular canal,is_a,6996,5,0.0007,0.0,1,1,0,0.0
