zfa_id,name,tier,cell_identity,credited_genes,reach
ZFA:0009002,early embryonic cell,T1,1,11,unreachable
ZFA:0009138,mesodermal cell,T1,1,11,unreachable
ZFA:0000054,pericardium,T1,0,11,unreachable
ZFA:0001430,pneumatic duct,T1,0,11,unreachable
ZFA:0005147,regenerating tissue,T1,0,11,unreachable
ZFA:0007013,preplacodal ectoderm,T1,0,11,unreachable
ZFA:0007015,posterior presumptive neural plate,T1,0,11,unreachable
ZFA:0007019,midbrain neural plate,T1,0,11,unreachable
ZFA:0001373,migratory slow muscle precursor cell,T1,1,10,via_develops_from
ZFA:0000672,hyomandibula,T1,0,10,via_develops_from
ZFA:0000692,symplectic,T1,0,10,via_develops_from
ZFA:0001334,presumptive enteric nervous system,T1,0,10,via_develops_from
ZFA:0005772,fertilized egg,T1,1,10,unreachable
ZFA:0009010,glioblast,T1,1,10,unreachable
ZFA:0009105,somatostatin secreting cell,T1,1,10,unreachable
ZFA:0009227,granulosa cell,T1,1,10,unreachable
ZFA:0009234,cardiac muscle myoblast,T1,1,10,unreachable
ZFA:0000068,proneural cluster,T1,0,10,unreachable
ZFA:0000385,lymphatic system,T1,0,10,unreachable
ZFA:0001214,presumptive rhombomere 8,T1,0,10,unreachable
ZFA:0007021,spinal cord neural plate,T1,0,10,unreachable
ZFA:0007082,neural plate border,T1,0,10,unreachable
ZFA:0000396,nervous system,T2,0,7744,unreachable
ZFA:0000339,digestive system,T2,0,4079,unreachable
ZFA:0001158,endocrine system,T2,0,2728,unreachable
ZFA:0000548,musculature system,T2,0,2551,unreachable
ZFA:0000114,heart,T2,0,2108,unreachable
ZFA:0000108,fin,T2,0,1915,unreachable
ZFA:0009190,electrically responsive cell,T2,1,1560,unreachable
ZFA:0001159,immune system,T2,0,1534,unreachable
ZFA:0009193,electrically signaling cell,T2,1,1352,unreachable
ZFA:0005171,duct,T2,0,859,unreachable
ZFA:0001495,unilaminar epithelium,T2,0,201,unreachable
ZFA:0009307,somatic stem cell,T2,1,172,unreachable
ZFA:0009132,barrier cell,T2,1,154,unreachable
ZFA:0001635,intramembranous bone,T2,0,136,via_develops_from
ZFA:0001590,dermal bone,T2,0,136,via_develops_from
ZFA:0001632,portion of connective tissue,T2,0,128,unreachable
ZFA:0001628,replacement bone,T2,0,112,unreachable
ZFA:0005624,replacement element,T2,0,112,unreachable
ZFA:0001591,endochondral bone,T2,0,111,via_develops_from
ZFA:0001693,chondral bone,T2,0,111,unreachable
ZFA:0000444,suspensorium,T2,0,97,via_develops_from
ZFA:0001498,simple squamous epithelium,T2,0,94,unreachable
ZFA:0009038,columnar/cuboidal epithelial cell,T2,1,82,unreachable
ZFA:0001496,simple columnar epithelium,T2,0,72,unreachable
ZFA:0009226,stromal cell,T2,1,61,unreachable
ZFA:0009162,extracellular matrix secreting cell,T2,1,54,unreachable
ZFA:0009093,GAG secreting cell,T2,1,54,unreachable
ZFA:0009287,collagen secreting cell,T2,1,54,unreachable
ZFA:0001489,compound organ component,T2,0,53,unreachable
ZFA:0005882,spermatogenic cyst,T2,0,46,unreachable
ZFA:0000290,sphenoid region,T2,0,22,unreachable
ZFA:0005138,dental organ,T2,0,20,via_develops_from
ZFA:0001642,tooth row,T2,0,20,unreachable
ZFA:0001137,ventral tooth row,T2,0,20,unreachable
ZFA:0009157,keratin accumulating cell,T2,1,18,unreachable
ZFA:0009158,keratinocyte,T2,1,18,unreachable
ZFA:0009134,insulating cell,T2,1,15,unreachable
ZFA:0009163,myelin accumulating cell,T2,1,15,unreachable
ZFA:0009107,testosterone secreting cell,T2,1,14,unreachable
ZFA:0009108,Leydig cell,T2,1,14,unreachable
ZFA:0005425,serous membrane,T2,0,12,unreachable
ZFA:0005237,erythroblast,T2,1,9,via_develops_from
ZFA:0000211,gill lamella,T2,0,9,via_develops_from
ZFA:0000578,ceratohyal bone,T2,0,9,via_develops_from
ZFA:0000657,entopterygoid,T2,0,9,via_develops_from
ZFA:0000667,gill filament,T2,0,9,via_develops_from
ZFA:0009080,neurectodermal cell,T2,1,9,unreachable
ZFA:0009169,glioblast (sensu Vertebrata),T2,1,9,unreachable
ZFA:0000265,presumptive dorsal mesoderm,T2,0,9,unreachable
ZFA:0000712,internal yolk syncytial layer,T2,0,9,unreachable
ZFA:0005156,fibrous joint,T2,0,9,unreachable
ZFA:0000467,anguloarticular,T2,0,8,via_develops_from
ZFA:0001712,presumptive bulbus arteriosus,T2,0,8,via_develops_from
ZFA:0005244,auditory epithelial support cell,T2,1,8,unreachable
ZFA:0009013,single fate stem cell,T2,1,8,unreachable
ZFA:0009098,neuroendocrine cell,T2,1,8,unreachable
ZFA:0009103,glucagon secreting cell,T2,1,8,unreachable
ZFA:0000569,presumptive hindbrain,T2,0,8,unreachable
ZFA:0001027,oral cavity,T2,0,8,unreachable
ZFA:0005490,myocardial precursor,T2,0,8,unreachable
ZFA:0005903,cartilaginous projection,T2,0,8,unreachable
ZFA:0007033,forebrain midbrain boundary neural rod,T2,0,8,unreachable
ZFA:0007062,olfactory field,T2,0,8,unreachable
ZFA:0009028,ameloblast,T2,1,7,via_develops_from
ZFA:0005771,ectomesenchyme,T2,0,7,via_develops_from
ZFA:0005773,embryonic blood vessel endothelial progenitor cell,T2,1,7,unreachable
ZFA:0009184,osteoprogenitor cell,T2,1,7,unreachable
ZFA:0009229,theca cell,T2,1,7,unreachable
ZFA:0009271,androgen secreting cell,T2,1,7,unreachable
ZFA:0009277,acinar cell,T2,1,7,unreachable
ZFA:0009291,muscle precursor cell,T2,1,7,unreachable
ZFA:0000062,presumptive forebrain,T2,0,7,unreachable
ZFA:0001070,presumptive pronephric mesoderm,T2,0,7,unreachable
ZFA:0001112,granulosa cell layer,T2,0,7,unreachable
ZFA:0001187,presumptive midbrain hindbrain boundary,T2,0,7,unreachable
ZFA:0005608,frontal-parietal joint,T2,0,7,unreachable
ZFA:0005622,cartilage tissue,T2,0,7,unreachable
ZFA:0005647,tendon,T2,0,7,unreachable
ZFA:0007047,midbrain hindbrain boundary neural tube,T2,0,7,unreachable
ZFA:0009047,osteoclast,T2,1,6,via_develops_from
ZFA:0000271,radial,T2,0,6,via_develops_from
ZFA:0000326,caudal vertebra,T2,0,6,via_develops_from
ZFA:0000514,frontal bone,T2,0,6,via_develops_from
ZFA:0000725,somite 11,T2,0,6,via_develops_from
ZFA:0000982,somite 6,T2,0,6,via_develops_from
ZFA:0001281,branchiostegal ray 2,T2,0,6,via_develops_from
ZFA:0005737,intestinal rod,T2,0,6,via_develops_from
ZFA:0005599,ghrelin secreting cell,T2,1,6,unreachable
ZFA:0007123,ionocyte progenitor cell,T2,1,6,unreachable
ZFA:0009166,mesenchyme condensation cell,T2,1,6,unreachable
ZFA:0009392,connective tissue cell,T2,1,6,unreachable
ZFA:0000717,apical ectodermal ridge median fin fold,T2,0,6,unreachable
ZFA:0001113,thecal cell layer,T2,0,6,unreachable
ZFA:0005922,migratory muscle precursor stream,T2,0,6,unreachable
ZFA:0007061,epibranchial field,T2,0,6,unreachable
ZFA:0005923,anterior migratory muscle precursor stream,T2,0,6,unreachable
ZFA:0005924,middle migratory muscle precursor stream,T2,0,6,unreachable
ZFA:0005925,posterior migratory muscle precursor stream,T2,0,6,unreachable
ZFA:0005245,xanthoblast,T2,1,5,via_develops_from
ZFA:0005328,iridoblast,T2,1,5,via_develops_from
ZFA:0000726,somite 14,T2,0,5,via_develops_from
ZFA:0000733,somite 7,T2,0,5,via_develops_from
ZFA:0000851,somite 12,T2,0,5,via_develops_from
ZFA:0009151,hatching gland cell,T2,1,5,unreachable
ZFA:0009177,blastoderm cell,T2,1,5,unreachable
ZFA:0009264,corneal epithelial cell,T2,1,5,unreachable
ZFA:0001125,organizer inducing center,T2,0,5,unreachable
ZFA:0001201,ventral lateral mesoderm,T2,0,5,unreachable
ZFA:0001217,presumptive hypochord,T2,0,5,unreachable
ZFA:0001342,presumptive intervening zone,T2,0,5,unreachable
ZFA:0001714,presumptive ventral mesoderm,T2,0,5,unreachable
ZFA:0001722,presumptive sinus venosus,T2,0,5,unreachable
ZFA:0001723,presumptive atrioventricular canal,T2,0,5,unreachable
ZFA:0005153,synovial joint,T2,0,5,unreachable
ZFA:0005867,cephalic mesoderm,T2,0,5,unreachable
ZFA:0007041,forebrain neural tube,T2,0,5,unreachable
ZFA:0005484,quadrate-anguloarticular joint,T2,0,5,unreachable
ZFA:0009023,common lymphoid progenitor,T2,1,4,via_develops_from
ZFA:0000419,pterosphenoid,T2,0,4,via_develops_from
ZFA:0000422,retroarticular,T2,0,4,via_develops_from
ZFA:0000519,hemal arch,T2,0,4,via_develops_from
ZFA:0000974,somite 10,T2,0,4,via_develops_from
ZFA:0000975,somite 13,T2,0,4,via_develops_from
ZFA:0001066,neural arch,T2,0,4,via_develops_from
ZFA:0001277,anterior chamber swim bladder,T2,0,4,via_develops_from
ZFA:0001278,posterior chamber swim bladder,T2,0,4,via_develops_from
ZFA:0001437,ductus communicans,T2,0,4,via_develops_from
ZFA:0001513,dermomyotome,T2,0,4,via_develops_from
ZFA:0001646,anal fin radial,T2,0,4,via_develops_from
ZFA:0009050,sensory epithelial cell,T2,1,4,unreachable
ZFA:0009092,exocrine cell,T2,1,4,unreachable
ZFA:0009182,gastrula cell,T2,1,4,unreachable
ZFA:0009272,skeletal muscle satellite cell,T2,1,4,unreachable
ZFA:0009352,neutrophil progenitor cell,T2,1,4,unreachable
ZFA:0001485,basal lamina,T2,0,4,unreachable
ZFA:0005102,presumptive median fin fold,T2,0,4,unreachable
ZFA:0005435,actinotrichium,T2,0,4,unreachable
ZFA:0005472,inter-frontal joint,T2,0,4,unreachable
ZFA:0005808,proepicardial cluster,T2,0,4,unreachable
ZFA:0009045,epithelial cell of pancreas,T2,1,3,via_develops_from
ZFA:0009383,endo-epithelial cell,T2,1,3,via_develops_from
ZFA:0009398,hepatoblast,T2,1,3,via_develops_from
ZFA:0000126,centrum,T2,0,3,via_develops_from
ZFA:0000264,preopercle,T2,0,3,via_develops_from
ZFA:0000486,parietal bone,T2,0,3,via_develops_from
ZFA:0000567,premaxilla,T2,0,3,via_develops_from
ZFA:0000858,somite 8,T2,0,3,via_develops_from
ZFA:0000983,somite 9,T2,0,3,via_develops_from
ZFA:0001336,neural spine,T2,0,3,via_develops_from
ZFA:0005243,single ciliated epithelial cell,T2,1,3,unreachable
ZFA:0005745,structural cell,T2,1,3,unreachable
ZFA:0009040,mesothelial cell,T2,1,3,unreachable
ZFA:0009129,absorptive cell,T2,1,3,unreachable
ZFA:0009372,duct epithelial cell,T2,1,3,unreachable
ZFA:0000148,presumptive midbrain,T2,0,3,unreachable
ZFA:0001126,noninvoluting endocytic marginal cell cluster,T2,0,3,unreachable
ZFA:0001448,ultimobranchial body,T2,0,3,unreachable
ZFA:0005489,endocardial precursor,T2,0,3,unreachable
ZFA:0005607,inter-parietal joint,T2,0,3,unreachable
ZFA:0005930,lumen,T2,0,3,unreachable
ZFA:0007027,forebrain midbrain boundary neural keel,T2,0,3,unreachable
